bit,information_gain,shapley,p_value_strength,dataset,trees,budget,selector
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,10,20000,info_gain
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,10,20000,info_gain
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,10,20000,info_gain
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,10,20000,info_gain
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,10,20000,info_gain
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,10,20000,info_gain
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,10,20000,info_gain
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,10,20000,modal
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,10,20000,modal
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,10,20000,modal
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,10,20000,modal
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,10,20000,modal
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,10,20000,modal
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,10,20000,modal
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,10,20000,modal
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,10,20000,modal
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,10,20000,modal
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,10,20000,modal
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,10,20000,modal
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,10,20000,modal
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,10,20000,modal
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,10,20000,modal
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,10,20000,modal
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,10,20000,modal
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,10,20000,modal
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,10,20000,modal
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,10,20000,modal
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,10,20000,modal
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,10,20000,modal
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,10,20000,modal
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,10,20000,modal
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,10,20000,modal
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,10,20000,modal
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,10,20000,modal
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,10,20000,modal
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,10,20000,modal
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,10,20000,modal
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,10,20000,modal
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,10,20000,modal
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,10,20000,modal
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,10,20000,modal
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,10,20000,modal
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,10,20000,modal
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,10,20000,modal
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,10,20000,modal
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,10,20000,p_value
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,10,20000,p_value
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,10,20000,p_value
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,10,20000,p_value
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,10,20000,p_value
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,10,20000,p_value
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,10,20000,p_value
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,10,20000,p_value
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,10,20000,p_value
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,10,20000,p_value
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,10,20000,p_value
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,10,20000,p_value
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,10,20000,p_value
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,10,20000,p_value
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,10,20000,p_value
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,10,20000,p_value
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,10,20000,p_value
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,10,20000,p_value
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,10,20000,p_value
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,10,20000,p_value
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,10,20000,p_value
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,10,20000,p_value
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,10,20000,p_value
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,10,20000,p_value
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,10,20000,p_value
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,10,20000,p_value
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,10,20000,p_value
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,10,20000,p_value
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,10,20000,p_value
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,10,20000,p_value
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,10,20000,p_value
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,10,20000,p_value
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,10,20000,p_value
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,10,20000,p_value
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,10,20000,p_value
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,10,20000,p_value
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,10,20000,p_value
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,10,20000,p_value
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,10,20000,random_node
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,10,20000,random_node
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,10,20000,random_node
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,10,20000,random_node
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,10,20000,random_node
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,10,20000,random_node
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,10,20000,random_node
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,10,20000,random_node
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,10,20000,random_node
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,10,20000,random_node
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,10,20000,random_node
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,10,20000,random_node
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,10,20000,random_node
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,10,20000,random_node
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,10,20000,random_node
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,10,20000,random_node
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,10,20000,random_node
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,10,20000,random_node
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,10,20000,random_node
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,10,20000,random_node
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,10,20000,random_node
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,10,20000,random_node
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,10,20000,random_node
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,10,20000,random_node
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,10,20000,random_node
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,10,20000,random_node
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,10,20000,random_node
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,10,20000,random_node
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,10,20000,random_node
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,10,20000,random_node
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,10,20000,random_node
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,10,20000,random_node
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,10,20000,random_node
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,10,20000,random_node
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,10,20000,random_node
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,10,20000,random_node
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,10,20000,random_node
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,10,20000,random_node
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,10,20000,shapley
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,10,20000,shapley
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,10,20000,shapley
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,10,20000,shapley
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,10,20000,shapley
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,10,20000,shapley
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,10,20000,shapley
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,10,20000,shapley
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,10,20000,shapley
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,10,20000,shapley
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,10,20000,shapley
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,10,20000,shapley
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,10,20000,shapley
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,10,20000,shapley
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,10,20000,shapley
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,10,20000,shapley
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,10,20000,shapley
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,10,20000,shapley
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,10,20000,shapley
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,10,20000,shapley
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,10,20000,shapley
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,10,20000,shapley
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,10,20000,shapley
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,10,20000,shapley
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,10,20000,shapley
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,10,20000,shapley
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,10,20000,shapley
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,10,20000,shapley
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,10,20000,shapley
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,10,20000,shapley
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,10,20000,shapley
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,10,20000,shapley
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,10,20000,shapley
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,10,20000,shapley
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,10,20000,shapley
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,10,20000,shapley
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,10,20000,shapley
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,10,20000,shapley
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,5,20000,info_gain
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,5,20000,info_gain
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,5,20000,info_gain
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,5,20000,info_gain
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,5,20000,info_gain
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,5,20000,info_gain
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,5,20000,info_gain
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,5,20000,info_gain
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,5,20000,info_gain
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,5,20000,info_gain
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,5,20000,info_gain
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,5,20000,info_gain
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,5,20000,info_gain
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,5,20000,info_gain
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,5,20000,info_gain
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,5,20000,info_gain
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,5,20000,info_gain
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,5,20000,info_gain
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,5,20000,info_gain
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,5,20000,info_gain
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,5,20000,info_gain
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,5,20000,info_gain
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,5,20000,info_gain
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,5,20000,info_gain
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,5,20000,info_gain
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,5,20000,info_gain
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,5,20000,info_gain
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,5,20000,info_gain
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,5,20000,info_gain
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,5,20000,info_gain
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,5,20000,info_gain
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,5,20000,info_gain
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,5,20000,info_gain
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,5,20000,info_gain
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,5,20000,info_gain
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,5,20000,info_gain
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,5,20000,info_gain
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,5,20000,info_gain
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,5,20000,modal
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,5,20000,modal
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,5,20000,modal
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,5,20000,modal
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,5,20000,modal
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,5,20000,modal
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,5,20000,modal
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,5,20000,modal
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,5,20000,modal
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,5,20000,modal
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,5,20000,modal
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,5,20000,modal
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,5,20000,modal
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,5,20000,modal
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,5,20000,modal
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,5,20000,modal
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,5,20000,modal
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,5,20000,modal
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,5,20000,modal
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,5,20000,modal
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,5,20000,modal
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,5,20000,modal
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,5,20000,modal
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,5,20000,modal
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,5,20000,modal
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,5,20000,modal
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,5,20000,modal
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,5,20000,modal
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,5,20000,modal
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,5,20000,modal
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,5,20000,modal
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,5,20000,modal
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,5,20000,modal
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,5,20000,modal
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,5,20000,modal
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,5,20000,modal
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,5,20000,modal
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,5,20000,modal
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,5,20000,p_value
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,5,20000,p_value
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,5,20000,p_value
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,5,20000,p_value
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,5,20000,p_value
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,5,20000,p_value
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,5,20000,p_value
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,5,20000,p_value
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,5,20000,p_value
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,5,20000,p_value
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,5,20000,p_value
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,5,20000,p_value
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,5,20000,p_value
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,5,20000,p_value
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,5,20000,p_value
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,5,20000,p_value
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,5,20000,p_value
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,5,20000,p_value
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,5,20000,p_value
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,5,20000,p_value
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,5,20000,p_value
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,5,20000,p_value
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,5,20000,p_value
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,5,20000,p_value
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,5,20000,p_value
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,5,20000,p_value
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,5,20000,p_value
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,5,20000,p_value
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,5,20000,p_value
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,5,20000,p_value
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,5,20000,p_value
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,5,20000,p_value
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,5,20000,p_value
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,5,20000,p_value
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,5,20000,p_value
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,5,20000,p_value
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,5,20000,p_value
x6_b5,0.0,-3607968603.25,274877906944.0,appendicitis,5,20000,p_value
x0_b0,0.0,-6277866132.3125,274877906944.0,appendicitis,5,20000,random_node
x0_b1,0.0,-6013865051.53125,274877906944.0,appendicitis,5,20000,random_node
x0_b2,0.0,-11100835774.671877,274877906944.0,appendicitis,5,20000,random_node
x0_b3,0.0,-13624082944.609377,274877906944.0,appendicitis,5,20000,random_node
x0_b4,0.0,-8838265285.796875,274877906944.0,appendicitis,5,20000,random_node
x0_b5,0.0,-6703117904.5625,274877906944.0,appendicitis,5,20000,random_node
x1_b0,0.0,-6239447282.96875,274877906944.0,appendicitis,5,20000,random_node
x1_b1,0.0,-16211995880.078123,274877906944.0,appendicitis,5,20000,random_node
x1_b2,0.0,-3013279869.4375,274877906944.0,appendicitis,5,20000,random_node
x1_b3,0.0,-4507409312.171875,274877906944.0,appendicitis,5,20000,random_node
x1_b4,0.0,-9170636171.109377,274877906944.0,appendicitis,5,20000,random_node
x2_b0,0.0,-2248881930.53125,274877906944.0,appendicitis,5,20000,random_node
x2_b1,0.0,-4789239622.25,274877906944.0,appendicitis,5,20000,random_node
x2_b2,0.0,-5262595293.8125,274877906944.0,appendicitis,5,20000,random_node
x2_b3,0.0,-6514434363.0625,274877906944.0,appendicitis,5,20000,random_node
x2_b4,0.0,-4499959894.9375,274877906944.0,appendicitis,5,20000,random_node
x3_b0,0.0,-5175353255.75,274877906944.0,appendicitis,5,20000,random_node
x3_b1,0.0,-3720761912.046875,274877906944.0,appendicitis,5,20000,random_node
x3_b2,0.0,-11129092516.375,274877906944.0,appendicitis,5,20000,random_node
x3_b3,0.0,-6832715303.796875,274877906944.0,appendicitis,5,20000,random_node
x3_b4,0.0,-5640949032.078125,274877906944.0,appendicitis,5,20000,random_node
x4_b0,0.0,-14719972839.640623,274877906944.0,appendicitis,5,20000,random_node
x4_b1,0.0,-9229582171.390623,274877906944.0,appendicitis,5,20000,random_node
x4_b2,0.0,-8969493521.15625,274877906944.0,appendicitis,5,20000,random_node
x4_b3,0.0,-7452798753.96875,274877906944.0,appendicitis,5,20000,random_node
x4_b4,0.0,-5722849268.1875,274877906944.0,appendicitis,5,20000,random_node
x4_b5,0.0,-3816738358.15625,274877906944.0,appendicitis,5,20000,random_node
x5_b0,0.0,-8638669050.0625,274877906944.0,appendicitis,5,20000,random_node
x5_b1,0.0,-6880588205.40625,274877906944.0,appendicitis,5,20000,random_node
x5_b2,0.0,-6406870695.71875,274877906944.0,appendicitis,5,20000,random_node
x5_b3,0.0,-6879104253.375,274877906944.0,appendicitis,5,20000,random_node
x5_b4,0.0,-4574174981.8125,274877906944.0,appendicitis,5,20000,random_node
x6_b0,0.0,-10707183822.53125,274877906944.0,appendicitis,5,20000,random_node
x6_b1,0.0,-11950869098.125,274877906944.0,appendicitis,5,20000,random_node
x6_b2,0.0,-7894367895.46875,274877906944.0,appendicitis,5,20000,random_node
x6_b3,0.0,-5987197322.546875,274877906944.0,appendicitis,5,20000,random_node
x6_b4,0.0,-3924693368.3125,274877906944.0,appendicitis,5,20000,random_node
